ACC_X,ACC_Y,ACC_Z,GYR_X,GYR_Y,GYR_Z,Angle_ROL,Angle_PIT,Angle_YAW
-6491,-5480,1797,0,0,0,23.6599998474121,-36.97999954,-77.09999847
-6491,-5480,1797,0,0,0,23.6599998474121,-36.97999954,-77.09999847
-6491,-5480,1797,0,0,0,23.6599998474121,-36.97999954,-77.09999847
-6491,-5480,1797,0,0,0,23.6599998474121,-36.97999954,-77.09999847
-6491,-5480,1797,0,0,0,23.6599998474121,-36.97999954,-77.09999847
-3934,-4431,3166,0,0,0,23.6599998474121,-36.97999954,-77.09999847
-3934,-4431,3166,0,0,0,23.6599998474121,-36.97999954,-77.09999847
-3934,-4431,3166,0,0,0,23.6599998474121,-36.97999954,-77.09999847
-3934,-4431,3166,0,0,0,23.6599998474121,-36.97999954,-77.09999847
-3934,-4431,3166,0,0,0,23.6599998474121,-36.97999954,-77.09999847
-3934,-4431,3166,0,0,0,23.6599998474121,-36.97999954,-77.09999847
-3934,-4431,3166,0,0,0,23.6599998474121,-36.97999954,-77.09999847
-3705,-4068,3221,0,0,0,23.6599998474121,-36.97999954,-77.09999847
-3705,-4068,3221,0,0,0,23.6599998474121,-36.97999954,-77.09999847
-3705,-4068,3221,0,0,0,23.6599998474121,-36.97999954,-77.09999847
-3705,-4068,3221,0,0,0,23.6599998474121,-36.97999954,-77.09999847
-3705,-4068,3221,0,0,0,23.6599998474121,-36.97999954,-77.09999847
-3705,-4068,3221,0,0,0,23.6599998474121,-36.97999954,-77.09999847
-3339,-4861,3462,0,0,0,23.6599998474121,-36.97999954,-77.09999847
-3339,-4861,3462,0,0,0,23.6599998474121,-36.97999954,-77.09999847
-3339,-4861,3462,0,0,0,23.6599998474121,-36.97999954,-77.09999847
-3339,-4861,3462,0,0,0,23.6599998474121,-36.97999954,-77.09999847
-3339,-4861,3462,0,0,0,23.6599998474121,-36.97999954,-77.09999847
-3339,-4861,3462,0,0,0,23.6599998474121,-36.97999954,-77.09999847
-3339,-4861,3462,0,0,0,23.6599998474121,-36.97999954,-77.09999847
-3339,-4861,3462,0,0,0,23.6599998474121,-36.97999954,-77.09999847
-2326,-3755,4581,0,0,0,23.6599998474121,-36.97999954,-77.09999847
-2326,-3755,4581,0,0,0,23.6599998474121,-36.97999954,-77.09999847
-2326,-3755,4581,0,0,0,23.6599998474121,-36.97999954,-77.09999847
-2326,-3755,4581,0,0,0,23.6599998474121,-36.97999954,-77.09999847
-2326,-3755,4581,0,0,0,23.6599998474121,-36.97999954,-77.09999847
-2326,-3755,4581,0,0,0,23.6599998474121,-36.97999954,-77.09999847
-4166,-5146,2994,0,0,0,23.6599998474121,-36.97999954,-77.09999847
-4166,-5146,2994,0,0,0,23.6599998474121,-36.97999954,-77.09999847
-4166,-5146,2994,0,0,0,23.6599998474121,-36.97999954,-77.09999847
-4166,-5146,2994,0,0,0,23.6599998474121,-36.97999954,-77.09999847
-4166,-5146,2994,0,0,0,23.6599998474121,-36.97999954,-77.09999847
-4166,-5146,2994,0,0,0,23.6599998474121,-36.97999954,-77.09999847
-4166,-5146,2994,0,0,0,23.6599998474121,-36.97999954,-77.09999847
-2992,-3374,4280,0,0,0,23.6599998474121,-36.97999954,-77.09999847
-2992,-3374,4280,0,0,0,23.6599998474121,-36.97999954,-77.09999847
-2992,-3374,4280,0,0,0,23.6599998474121,-36.97999954,-77.09999847
-2992,-3374,4280,0,0,0,23.6599998474121,-36.97999954,-77.09999847
-2992,-3374,4280,0,0,0,23.6599998474121,-36.97999954,-77.09999847
-2992,-3374,4280,0,0,0,23.6599998474121,-36.97999954,-77.09999847
-2992,-3374,4280,0,0,0,23.6599998474121,-36.97999954,-77.09999847
-3452,-4307,4696,0,0,0,23.6599998474121,-36.97999954,-77.09999847
-3452,-4307,4696,0,0,0,23.6599998474121,-36.97999954,-77.09999847
-3452,-4307,4696,0,0,0,23.6599998474121,-36.97999954,-77.09999847
-3452,-4307,4696,0,0,0,23.6599998474121,-36.97999954,-77.09999847
-3452,-4307,4696,0,0,0,23.6599998474121,-36.97999954,-77.09999847
-3452,-4307,4696,0,0,0,23.6599998474121,-36.97999954,-77.09999847
-3452,-4307,4696,0,0,0,23.6599998474121,-36.97999954,-77.09999847
-2881,-2844,4611,0,0,0,23.6599998474121,-36.97999954,-77.09999847
-2881,-2844,4611,0,0,0,23.6599998474121,-36.97999954,-77.09999847
-2881,-2844,4611,0,0,0,23.6599998474121,-36.97999954,-77.09999847
-2881,-2844,4611,0,0,0,23.6599998474121,-36.97999954,-77.09999847
-2881,-2844,4611,0,0,0,23.6599998474121,-36.97999954,-77.09999847
-2881,-2844,4611,0,0,0,23.6599998474121,-36.97999954,-77.09999847
-2881,-2844,4611,0,0,0,23.6599998474121,-36.97999954,-77.09999847
