ACC_X,ACC_Y,ACC_Z,GYR_X,GYR_Y,GYR_Z,Angle_ROL,Angle_PIT,Angle_YAW
-986,420,8063,0,0,0,5.650000095,4.670000076,-0.409999996
-961,515,8149,0,0,0,5.650000095,4.670000076,-0.409999996
-961,515,8149,0,0,0,5.650000095,4.670000076,-0.409999996
-961,515,8149,0,0,0,5.650000095,4.670000076,-0.409999996
-961,515,8149,0,0,0,5.650000095,4.670000076,-0.409999996
-961,515,8149,0,0,0,5.650000095,4.670000076,-0.409999996
-961,515,8149,0,0,0,5.650000095,4.670000076,-0.409999996
-961,515,8149,0,0,0,5.650000095,4.670000076,-0.409999996
-961,515,8149,0,0,0,5.650000095,4.670000076,-0.409999996
-961,515,8149,0,0,0,15.73999977,0.699999988,0.180000007
-961,515,8149,0,0,0,15.73999977,0.699999988,0.180000007
-1121,474,8233,0,57,0,15.73999977,0.699999988,0.180000007
-1121,474,8233,0,57,0,15.73999977,0.699999988,0.180000007
-1121,474,8233,0,57,0,15.73999977,0.699999988,0.180000007
-1121,474,8233,0,57,0,15.73999977,0.699999988,0.180000007
-1121,474,8233,0,57,0,15.73999977,0.699999988,0.180000007
-1619,474,7921,0,57,0,15.73999977,0.699999988,0.180000007
-1619,474,7921,0,57,0,15.73999977,0.699999988,0.180000007
-1619,474,7921,0,57,0,15.73999977,0.699999988,0.180000007
-1619,474,7921,0,57,0,15.73999977,0.699999988,0.180000007
-1619,474,7921,0,57,0,15.73999977,0.699999988,0.180000007
-1619,474,7921,0,57,0,15.73999977,0.699999988,0.180000007
-1619,474,7921,0,57,0,15.73999977,0.699999988,0.180000007
-2445,425,7492,0,0,0,15.73999977,0.699999988,0.180000007
-2445,425,7492,0,0,0,15.73999977,0.699999988,0.180000007
-2445,425,7492,0,0,0,15.73999977,0.699999988,0.180000007
-2445,425,7492,0,0,0,15.73999977,0.699999988,0.180000007
-2445,425,7492,0,0,0,15.73999977,0.699999988,0.180000007
-2445,425,7492,0,0,0,15.73999977,0.699999988,0.180000007
-2445,425,7492,0,0,0,15.73999977,0.699999988,0.180000007
-2445,425,7492,0,0,0,15.73999977,0.699999988,0.180000007
-2647,420,7458,0,0,0,15.73999977,0.699999988,0.180000007
-2647,420,7458,0,0,0,15.73999977,0.699999988,0.180000007
-2647,420,7458,0,0,0,15.73999977,0.699999988,0.180000007
-2647,420,7458,0,0,0,15.73999977,0.699999988,0.180000007
-2647,420,7458,0,0,0,15.73999977,0.699999988,0.180000007
-2647,420,7458,0,0,0,15.73999977,0.699999988,0.180000007
-2647,420,7458,0,0,0,15.73999977,0.699999988,0.180000007
-2902,404,7317,0,0,0,15.73999977,0.699999988,0.180000007
-2902,404,7317,0,0,0,15.73999977,0.699999988,0.180000007
-2902,404,7317,0,0,0,15.73999977,0.699999988,0.180000007
-2902,404,7317,0,0,0,15.73999977,0.699999988,0.180000007
-2902,404,7317,0,0,0,15.73999977,0.699999988,0.180000007
-2902,404,7317,0,0,0,15.73999977,0.699999988,0.180000007
-2902,404,7317,0,0,0,15.73999977,0.699999988,0.180000007
-2902,404,7317,0,0,0,15.73999977,0.699999988,0.180000007
-3529,357,7042,0,0,0,15.73999977,0.699999988,0.180000007
-3529,357,7042,0,0,0,15.73999977,0.699999988,0.180000007
-3529,357,7042,0,0,0,15.73999977,0.699999988,0.180000007
-3529,357,7042,0,0,0,15.73999977,0.699999988,0.180000007
-3529,357,7042,0,0,0,15.73999977,0.699999988,0.180000007
-3529,357,7042,0,0,0,15.73999977,0.699999988,0.180000007
-3529,357,7042,0,0,0,15.73999977,0.699999988,0.180000007
-4381,272,6698,0,0,0,15.73999977,0.699999988,0.180000007
-4381,272,6698,0,0,0,15.73999977,0.699999988,0.180000007
-4381,272,6698,0,0,0,15.73999977,0.699999988,0.180000007
-4381,272,6698,0,0,0,15.73999977,0.699999988,0.180000007
-4381,272,6698,0,0,0,15.73999977,0.699999988,0.180000007
-4381,272,6698,0,0,0,15.73999977,0.699999988,0.180000007
-4381,272,6698,0,0,0,15.73999977,0.699999988,0.180000007
-4373,292,6696,0,0,0,15.73999977,0.699999988,0.180000007
-4373,292,6696,0,0,0,15.73999977,0.699999988,0.180000007
-4373,292,6696,0,0,0,15.73999977,0.699999988,0.180000007
-4373,292,6696,0,0,0,15.73999977,0.699999988,0.180000007
-4373,292,6696,0,0,0,15.73999977,0.699999988,0.180000007
-4373,292,6696,0,0,0,15.73999977,0.699999988,0.180000007
-4373,292,6696,0,0,0,15.73999977,0.699999988,0.180000007
-4373,292,6696,0,0,0,15.73999977,0.699999988,0.180000007
-4303,306,6733,0,-57,0,15.73999977,0.699999988,0.180000007
-4303,306,6733,0,-57,0,15.73999977,0.699999988,0.180000007
-4303,306,6733,0,-57,0,15.73999977,0.699999988,0.180000007
-4303,306,6733,0,-57,0,15.73999977,0.699999988,0.180000007
-4303,306,6733,0,-57,0,15.73999977,0.699999988,0.180000007
-4303,306,6733,0,-57,0,15.73999977,0.699999988,0.180000007
-4303,306,6733,0,-57,0,15.73999977,0.699999988,0.180000007
-4013,243,6900,0,-57,0,15.73999977,0.699999988,0.180000007
-4013,243,6900,0,-57,0,15.73999977,0.699999988,0.180000007
-4013,243,6900,0,-57,0,15.73999977,0.699999988,0.180000007
-4013,243,6900,0,-57,0,15.73999977,0.699999988,0.180000007
-4013,243,6900,0,-57,0,15.73999977,0.699999988,0.180000007
-4013,243,6900,0,-57,0,15.73999977,0.699999988,0.180000007
-4013,243,6900,0,-57,0,15.73999977,0.699999988,0.180000007
