Timestamp;Y;Y;rol
2000;-3.372813E-002;3.221651E+000;0.000000E+000
14000;-3.372950E-002;2.311184E+000;-2.801436E-001
25000;-3.373825E-002;1.890969E+000;1.400718E-001
36000;-3.374926E-002;-1.400718E-001;-1.680861E+000
47000;-3.376094E-002;-7.703948E-001;-3.221651E+000
59000;-3.377281E-002;7.003589E-002;-1.120574E+000
70000;-3.378473E-002;-7.003589E-002;7.703948E-001
82000;-3.379668E-002;-4.202154E-001;2.311184E+000
93000;-3.380863E-002;-8.404307E-001;2.171113E+000
105000;-3.382062E-002;-1.470754E+000;3.641866E+000
116000;-3.383256E-002;-7.003589E-001;3.922010E+000
128000;-3.384454E-002;-7.003589E-002;3.431759E+000
139000;-3.385650E-002;4.202154E-001;1.330682E+000
150000;-3.385650E-002;1.050538E+000;-8.404307E-001
163000;-3.388041E-002;1.540790E+000;-1.750897E+000
174000;-3.389237E-002;1.470754E+000;-1.190610E+000
187000;-3.389690E-002;1.400718E-001;-2.871471E+000
199000;-3.390658E-002;1.400718E-001;-2.871471E+000
210000;-3.391782E-002;1.961005E+000;-1.961005E+000
223000;-3.392950E-002;3.781938E+000;7.003589E-002
234000;-3.393392E-002;3.851974E+000;7.003589E-001
246000;-3.393614E-002;2.661364E+000;9.805024E-001
257000;-3.394515E-002;1.400718E+000;5.602871E-001
269000;-3.395624E-002;-3.501795E-001;-2.801436E-001
281000;-3.396793E-002;-5.602871E-001;5.602871E-001
292000;-3.397981E-002;-7.003589E-001;6.303231E-001
304000;-3.397981E-002;-7.703948E-001;0.000000E+000
316000;-3.399173E-002;-2.031041E+000;-1.750897E+000
327000;-3.399400E-002;-2.661364E+000;-2.591328E+000
338000;-3.399400E-002;-1.190610E+000;-1.050538E+000
349000;-3.398737E-002;-5.602871E-001;1.400718E-001
360000;-3.399545E-002;4.202154E-001;1.680861E+000
373000;-3.399879E-002;-2.101077E-001;8.404307E-001
384000;-3.399879E-002;6.303231E-001;2.241148E+000
396000;-3.400813E-002;1.400718E+000;2.871471E+000
408000;-3.402127E-002;1.890969E+000;3.151615E+000
419000;-3.403247E-002;9.805024E-001;2.451256E+000
432000;-3.403677E-002;-5.602871E-001;1.190610E+000
443000;-3.403898E-002;-4.902512E-001;7.703948E-001
454000;-3.404058E-002;-1.120574E+000;8.404307E-001
466000;-3.404058E-002;-3.011543E+000;-4.202154E-001
478000;-3.404943E-002;-2.941507E+000;9.104666E-001
489000;-3.406043E-002;-1.330682E+000;2.241148E+000
501000;-3.407211E-002;-1.330682E+000;2.241148E+000
513000;-3.407656E-002;5.602871E-001;2.871471E+000
525000;-3.408624E-002;1.750897E+000;1.750897E+000
536000;-3.409749E-002;2.241148E+000;1.260646E+000
547000;-3.410179E-002;2.591328E+000;1.680861E+000
558000;-3.410397E-002;2.591328E+000;1.680861E+000
571000;-3.411295E-002;1.400718E+000;-3.501795E-001
582000;-3.412395E-002;1.400718E+000;-2.400000E+000
593000;-3.412818E-002;7.003589E-001;-1.700000E+000
604000;-3.413039E-002;7.003589E-001;-1.190610E+000
615000;-3.413195E-002;-7.003589E-001;-1.190610E+000
627000;-3.414078E-002;-7.003589E-001;-5.602871E-001
